demx8as6@controller:~/workspace/onf/CENTENNIAL/models/tools$ ./build-yang.sh 
[3;J
2017-02-18T17:59:45,561Z | build-yang | INFO  | Start
2017-02-18T17:59:54.853Z |    yangify | INFO  | CoreModel:ForwardingConstructCoreModel:_fcSwitchCoreModel:uuid,name >> core-model:forwarding-constructcore-model:fc-switchcore-model:uuid,name
2017-02-18T17:59:54.853Z |    yangify | INFO  | _controlParameters >> control-parameters
2017-02-18T17:59:54.853Z |    yangify | INFO  | ControlParameters_Pac; >> control-parameters-pac;
2017-02-18T17:59:54.854Z |    yangify | INFO  | _local_Pac >> local-pac
2017-02-18T17:59:54.854Z |    yangify | INFO  | Local_Pac; >> local-pac;
2017-02-18T17:59:54.854Z |    yangify | INFO  | _global_Pac >> global-pac
2017-02-18T17:59:54.854Z |    yangify | INFO  | Global_Pac; >> global-pac;
2017-02-18T17:59:54.854Z |    yangify | INFO  | CoreModel:NetworkElementCoreModel:_ltpCoreModel:_lpCoreModel:_configAndSwitchControllerCoreModel:switchRule >> core-model:network-elementcore-model:ltpcore-model:lpcore-model:config-and-switch-controllercore-model:switch-rule
2017-02-18T17:59:54.854Z |    yangify | INFO  | ControlParameters_Pac >> control-parameters-pac
2017-02-18T17:59:54.854Z |    yangify | INFO  | ReversionMode >> reversion-mode
2017-02-18T17:59:54.854Z |    yangify | INFO  | ProtectionType >> protection-type
2017-02-18T17:59:54.855Z |    yangify | INFO  | FcSwitch >> fc-switch
2017-02-18T17:59:54.855Z |    yangify | INFO  | ProtectionType >> protection-type
2017-02-18T17:59:54.855Z |    yangify | INFO  | ReversionMode >> reversion-mode
2017-02-18T17:59:54.855Z |    yangify | INFO  | CoreModel:ForwardingConstructCoreModel:_fcPortCoreModel:uuid,name >> core-model:forwarding-constructcore-model:fc-portcore-model:uuid,name
2017-02-18T17:59:54.855Z |    yangify | INFO  | _internalConfigurationAndSwitchControl >> internal-configuration-and-switch-control
2017-02-18T17:59:54.855Z |    yangify | INFO  | ConfigurationAndSwitchController; >> configuration-and-switch-controller;
2017-02-18T17:59:54.855Z |    yangify | INFO  | SwitchControl >> switch-control
2017-02-18T17:59:54.855Z |    yangify | INFO  | PortDirection >> port-direction
2017-02-18T17:59:54.855Z |    yangify | INFO  | SwitchStateReason >> switch-state-reason
2017-02-18T17:59:54.855Z |    yangify | INFO  | _controlParameters >> control-parameters
2017-02-18T17:59:54.855Z |    yangify | INFO  | ControlParameters_Pac; >> control-parameters-pac;
2017-02-18T17:59:54.855Z |    yangify | INFO  | LocalClass; >> local-class;
2017-02-18T17:59:54.855Z |    yangify | INFO  | Resilience >> resilience
2017-02-18T17:59:54.855Z |    yangify | INFO  | ForwardingDomain >> forwarding-domain
2017-02-18T17:59:54.855Z |    yangify | INFO  | LayerProtocolName >> layer-protocol-name
2017-02-18T17:59:54.856Z |    yangify | INFO  | CoreModel:NetworkElementCoreModel:_fdCoreModel:uuid,name >> core-model:network-elementcore-model:fdcore-model:uuid,name
